// <0000> 魔物使いの女性たちが、シートの上に何人も寝かせられていた。
<0000> 魔物使いの女性たちが、シートの上に何人も寝かせられていた。

// <2129> 瑚太朗
<2129> 瑚太朗

// <2130> 「………」
<2130> 「………」

// <2131> 朱音
<2131> 朱音

// <2132> 「事はもはやガーディアンだの鍵だのという段階ではなくなってしまったし…」
<2132> 「事はもはやガーディアンだの鍵だのという段階ではなくなってしまったし…」

// <2133> 朱音
<2133> 朱音

// <2134> 「今の状況は、仕方ないことだわ」
<2134> 「今の状況は、仕方ないことだわ」

// <2135> 朱音
<2135> 朱音

// <2136> 「瑚太朗だって警察と身一つでとっくみあいをしても意味ないってわかるでしょう？」
<2136> 「瑚太朗だって警察と身一つでとっくみあいをしても意味ないってわかるでしょう？」

// <2137> 瑚太朗
<2137> 瑚太朗

// <2138> 「その行動に意味があるなら、あんたがやれと言うなら、やります」
<2138> 「その行動に意味があるなら、あんたがやれと言うなら、やります」

// <2139> 朱音
<2139> 朱音

// <2140> 「意味ね…」
<2140> 「意味ね…」

// <2141> 朱音
<2141> 朱音

// <2142> 「意味があれば、どんなことだって構わないの？」
<2142> 「意味があれば、どんなことだって構わないの？」

// <2143> 瑚太朗
<2143> 瑚太朗

// <2144> 「そりゃ、納得できることなら」
<2144> 「そりゃ、納得できることなら」

// <2145> 朱音は沈黙の中で、じっくりと言葉を選んだ。
<2145> 朱音は沈黙の中で、じっくりと言葉を選んだ。

// <2146> 朱音
<2146> 朱音

// <2147> 「…政府転覆とか、いかが？」
<2147> 「…政府転覆とか、いかが？」

// <2148> 瑚太朗
<2148> 瑚太朗

// <2149> 「いいですよ。たぶん失敗するでしょうけど」
<2149> 「いいですよ。たぶん失敗するでしょうけど」

// <2150> 朱音
<2150> 朱音

// <2151> 「じゃあ、なら…」
<2151> 「じゃあ、なら…」

// <2152> 朱音
<2152> 朱音

// <2153> 「人口を減らして、星の救済をはかるというのはどう？」
<2153> 「人口を減らして、星の救済をはかるというのはどう？」

// <2154> 朱音
<2154> 朱音

// <2155> 「これは究極の環境対策よ」
<2155> 「これは究極の環境対策よ」

// <2156> 瑚太朗
<2156> 瑚太朗

// <2157> 「………」
<2157> 「………」

// <2158> 朱音
<2158> 朱音

// <2159> 「もちろん、ガーディアンと人類全体を敵に回すことになるけれど」
<2159> 「もちろん、ガーディアンと人類全体を敵に回すことになるけれど」

// <2160> 瑚太朗
<2160> 瑚太朗

// <2161> 「覚悟ある相手と戦うのは、いいんですけどね…」
<2161> 「覚悟ある相手と戦うのは、いいんですけどね…」

// <2162> 朱音
<2162> 朱音

// <2163> 「瑚太朗、決断というのはね、選ぶことと同時に、切り捨てることでもあるの」
<2163> 「瑚太朗、決断というのはね、選ぶことと同時に、切り捨てることでもあるの」

// <2164> 朱音
<2164> 朱音

// <2165> 「身は一つ、分かれる道はふたつ」
<2165> 「身は一つ、分かれる道はふたつ」

// <2166> 朱音
<2166> 朱音

// <2167> 「右に行くなら、左の可能性は切り捨てることになる」
<2167> 「右に行くなら、左の可能性は切り捨てることになる」

// <2168> 朱音
<2168> 朱音

// <2169> 「逆もまた然り」
<2169> 「逆もまた然り」

// <2170> 朱音
<2170> 朱音

// <2171> 「選ぶという行為は示唆的ね」
<2171> 「選ぶという行為は示唆的ね」

// <2172> 朱音
<2172> 朱音

// <2173> 「右と左、ガイアとガーディアン、多数と少数」
<2173> 「右と左、ガイアとガーディアン、多数と少数」

// <2174> 瑚太朗
<2174> 瑚太朗

// <2175> 「星と人とか？」
<2175> 「星と人とか？」

// <2176> 朱音が息を呑む。
<2176> 朱音が息を呑む。

// <2177> 朱音
<2177> 朱音

// <2178> 「…人を助けるといっても、末は滅びよ？」
<2178> 「…人を助けるといっても、末は滅びよ？」

// <2179> 瑚太朗
<2179> 瑚太朗

// <2180> 「知ってます」
<2180> 「知ってます」

// <2181> 瑚太朗
<2181> 瑚太朗

// <2182> 「でもほとんどの人は、そのことに気づいてない」
<2182> 「でもほとんどの人は、そのことに気づいてない」

// <2183> 瑚太朗
<2183> 瑚太朗

// <2184> 「俺たち知っている者だけが、できることってまだあるんじゃないですかね？」
<2184> 「俺たち知っている者だけが、できることってまだあるんじゃないですかね？」

// <2185> 朱音
<2185> 朱音

// <2186> 「私もそう考えた時期があるけれど」
<2186> 「私もそう考えた時期があるけれど」

// <2187> 朱音
<2187> 朱音

// <2188> 「誰かが全地球レベルで何かを試みた時、妨害者は必ず出てくるの。たとえそれが正しいことでも、思い通りにはできないものだわ」
<2188> 「誰かが全地球レベルで何かを試みた時、妨害者は必ず出てくるの。たとえそれが正しいことでも、思い通りにはできないものだわ」

// <2189> 朱音
<2189> 朱音

// <2190> 「歴史はいつだって、誰かが勝手に突き進むことで紡がれてきたの」
<2190> 「歴史はいつだって、誰かが勝手に突き進むことで紡がれてきたの」

// <2191> 瑚太朗
<2191> 瑚太朗

// <2192> 「…」
<2192> 「…」

// <2193> 朱音
<2193> 朱音

// <2194> 「世界がひとつになることと星を救うことも、ほぼ同等の難易度と考えて良いわ」
<2194> 「世界がひとつになることと星を救うことも、ほぼ同等の難易度と考えて良いわ」

// <2195> 朱音
<2195> 朱音

// <2196> 「人類が団結しなければ、星の問題は解決できないのだから」
<2196> 「人類が団結しなければ、星の問題は解決できないのだから」

// <2197> 朱音
<2197> 朱音

// <2198> 「そして人の手による改善は、時期を逸した…」
<2198> 「そして人の手による改善は、時期を逸した…」

// <2199> 朱音
<2199> 朱音

// <2200> 「加島桜もそこに絶望したのかもね」
<2200> 「加島桜もそこに絶望したのかもね」

// <2201> 朱音
<2201> 朱音

// <2202> 「私も、鍵を失った時、もうやるべきことはないと感じたわ」
<2202> 「私も、鍵を失った時、もうやるべきことはないと感じたわ」

// <2203> 朱音
<2203> 朱音

// <2204> 「そうすると、いろいろなものが見えてきた。今まで無視してきたものが、突然価値あるもののように思えたわ」
<2204> 「そうすると、いろいろなものが見えてきた。今まで無視してきたものが、突然価値あるもののように思えたわ」

// <2205> 朱音
<2205> 朱音

// <2206> 「以前は気にもとめなかった穏やかな時が、今は味わい深いの」
<2206> 「以前は気にもとめなかった穏やかな時が、今は味わい深いの」

// <2207> 瑚太朗
<2207> 瑚太朗

// <2208> 「………」
<2208> 「………」

// <2209> 瑚太朗
<2209> 瑚太朗

// <2210> 「…それなら、言うことは何もないんすけどね」
<2210> 「…それなら、言うことは何もないんすけどね」

// <2211> 瑚太朗
<2211> 瑚太朗

// <2212> 「あの、俺って信頼されてないですか？」
<2212> 「あの、俺って信頼されてないですか？」

// <2213> 朱音
<2213> 朱音

// <2214> 「どうして？　誓ってそんなこと、ありはしないわ」
<2214> 「どうして？　誓ってそんなこと、ありはしないわ」

// <2215> 朱音
<2215> 朱音

// <2216> 「私はこういうことが得意ではないから、あまり口にしないけど…」
<2216> 「私はこういうことが得意ではないから、あまり口にしないけど…」

// <2217> 朱音
<2217> 朱音

// <2218> 「あ、愛していぬる、ぬ…」
<2218> 「あ、愛していぬる、ぬ…」

// <2219> 噛んでいた。
<2219> 噛んでいた。

// <2220> 朱音
<2220> 朱音

// <2221> 「…ラブだわ」
<2221> 「…ラブだわ」

// <2222> 噛まない表現に言い直していた。
<2222> 噛まない表現に言い直していた。

// <2223> 瑚太朗
<2223> 瑚太朗

// <2224> 「…そこは疑ってないんですけど…」
<2224> 「…そこは疑ってないんですけど…」

// <2225> 朱音
<2225> 朱音

// <2226> 「じゃあいいじゃない。のんびりやりましょう」
<2226> 「じゃあいいじゃない。のんびりやりましょう」

// <2227> 瑚太朗
<2227> 瑚太朗

// <2228> 「………」
<2228> 「………」

// <2229> dummy
<2229> dummy

// <2230> bgm037
<2230> bgm037

// <2231> sys20_adv00
<2231> sys20_adv00

// <2232> bg015
<2232> bg015

// <2233> sys20_adv00
<2233> sys20_adv00

// <2234> cgm_ak24a
<2234> cgm_ak24a

// <2235> sys20_adv00
<2235> sys20_adv00

// <2236> cgm_ak11a
<2236> cgm_ak11a

// <2237> sys20_adv00
<2237> sys20_adv00

// <2238> cgm_ak10a
<2238> cgm_ak10a

// <2239> sys20_adv00
<2239> sys20_adv00

// <2240> cgm_ak11a
<2240> cgm_ak11a

// <2241> sys20_adv00
<2241> sys20_adv00

// <2242> cgm_ak25a
<2242> cgm_ak25a

// <2243> sys20_adv00
<2243> sys20_adv00

// <2244> cgm_ak11a
<2244> cgm_ak11a

// <2245> sys20_adv00
<2245> sys20_adv00

// <2246> cgm_ak24a
<2246> cgm_ak24a

// <2247> sys20_adv00
<2247> sys20_adv00

// <2248> sys20_adv00
<2248> sys20_adv00

// <2249> cgm_ak30a
<2249> cgm_ak30a

// <2250> sys20_adv00
<2250> sys20_adv00

// <2251> cgm_ak32a
<2251> cgm_ak32a

// <2252> sys20_adv00
<2252> sys20_adv00

// <2253> cgm_ak16a
<2253> cgm_ak16a

// <2254> sys20_adv00
<2254> sys20_adv00

// <2255> cgm_ak16au
<2255> cgm_ak16au

// <2256> sys20_adv00
<2256> sys20_adv00

// <2257> cgm_ak25au
<2257> cgm_ak25au

// <2258> sys20_adv00
<2258> sys20_adv00

// <2259> cgm_ak11au
<2259> cgm_ak11au

// <2260> sys20_adv00
<2260> sys20_adv00

// <2261> cgm_ak19au
<2261> cgm_ak19au

// <2262> sys20_adv00
<2262> sys20_adv00

// <2263> cgm_ak25au
<2263> cgm_ak25au

// <2264> sys20_adv00
<2264> sys20_adv00

// <2265> cgm_ak34a
<2265> cgm_ak34a

// <2266> sys20_adv00
<2266> sys20_adv00

// <2267> cgm_ak33a
<2267> cgm_ak33a

// <2268> sys20_adv00
<2268> sys20_adv00

// <2269> sys20_adv00
<2269> sys20_adv00

// <2270> cgm_ak19a
<2270> cgm_ak19a

// <2271> sys20_adv00
<2271> sys20_adv00

// <2272> cgm_ak22a
<2272> cgm_ak22a

// <2273> sys20_adv00
<2273> sys20_adv00

// <2274> bg080y
<2274> bg080y

// <2275> bgm015
<2275> bgm015

// <2276> sys20_adv00
<2276> sys20_adv00

// <2277> bg015y
<2277> bg015y

// <2278> sys20_adv00
<2278> sys20_adv00

// <2279> kuro
<2279> kuro

// <2280> sys20_adv00
<2280> sys20_adv00

// <2281> bg025
<2281> bg025

// <2282> sys20_adv00
<2282> sys20_adv00

// <2283> cgm_ak22a
<2283> cgm_ak22a

// <2284> sys20_adv00
<2284> sys20_adv00

// <2285> cgm_ak24a
<2285> cgm_ak24a

// <2286> sys20_adv00
<2286> sys20_adv00

// <2287> cgm_ak23a
<2287> cgm_ak23a

// <2288> sys20_adv00
<2288> sys20_adv00

// <2289> cgm_ak24a
<2289> cgm_ak24a

// <2290> sys20_adv00
<2290> sys20_adv00

// <2291> cgm_ak24au
<2291> cgm_ak24au

// <2292> sys20_adv00
<2292> sys20_adv00

// <2293> cgm_ak22au
<2293> cgm_ak22au

// <2294> sys20_adv00
<2294> sys20_adv00

// <2295> cgm_ak23au
<2295> cgm_ak23au

// <2296> sys20_adv00
<2296> sys20_adv00

// <2297> cgm_ak17au
<2297> cgm_ak17au

// <2298> sys20_adv00
<2298> sys20_adv00

// <2299> cgm_ak24au
<2299> cgm_ak24au

// <2300> sys20_adv00
<2300> sys20_adv00

// <2301> cgm_ak13au
<2301> cgm_ak13au

// <2302> sys20_adv00
<2302> sys20_adv00

// <2303> cgm_ak19au
<2303> cgm_ak19au

// <2304> sys20_adv00
<2304> sys20_adv00

// <2305> cgm_ak22au
<2305> cgm_ak22au

// <2306> sys20_adv00
<2306> sys20_adv00

// <2307> cgm_ak17au
<2307> cgm_ak17au

// <2308> sys20_adv00
<2308> sys20_adv00

// <2309> cgm_ak21au
<2309> cgm_ak21au

// <2310> sys20_adv00
<2310> sys20_adv00

// <2311> cgm_ak19au
<2311> cgm_ak19au

// <2312> sys20_adv00
<2312> sys20_adv00

// <2313> cgm_ak24au
<2313> cgm_ak24au

// <2314> sys20_adv00
<2314> sys20_adv00

// <2315> cgm_ak25au
<2315> cgm_ak25au

// <2316> sys20_adv00
<2316> sys20_adv00

// <2317> cgm_ak16au
<2317> cgm_ak16au

// <2318> sys20_adv00
<2318> sys20_adv00

// <2319> cgm_ak21au
<2319> cgm_ak21au

// <2320> sys20_adv00
<2320> sys20_adv00

// <2321> cgm_ak24au
<2321> cgm_ak24au

// <2322> sys20_adv00
<2322> sys20_adv00

// <2323> cgm_ak19au
<2323> cgm_ak19au

// <2324> sys20_adv00
<2324> sys20_adv00

// <2325> cgm_ak21au
<2325> cgm_ak21au

// <2326> sys20_adv00
<2326> sys20_adv00

// <2327> sys20_adv00
<2327> sys20_adv00

// <2328> cgm_ak31a
<2328> cgm_ak31a

// <2329> sys20_adv00
<2329> sys20_adv00

// <2330> sys20_adv00
<2330> sys20_adv00

// <2331> cgm_ak32a
<2331> cgm_ak32a

// <2332> sys20_adv00
<2332> sys20_adv00

// <2333> cgm_ak13a
<2333> cgm_ak13a

// <2334> sys20_adv00
<2334> sys20_adv00

// <2335> cgm_ak25a
<2335> cgm_ak25a

// <2336> sys20_adv00
<2336> sys20_adv00

// <2337> cgm_ak32a
<2337> cgm_ak32a

// <2338> sys20_adv00
<2338> sys20_adv00

// <2339> cgm_ak30a
<2339> cgm_ak30a

// <2340> sys20_adv00
<2340> sys20_adv00

// <2341> sys20_adv00
<2341> sys20_adv00

// <2342> cgm_ak17a
<2342> cgm_ak17a

// <2343> sys20_adv00
<2343> sys20_adv00

// <2344> cgm_ak15a
<2344> cgm_ak15a

// <2345> sys20_adv00
<2345> sys20_adv00

// <2346> cgm_ak10a
<2346> cgm_ak10a

// <2347> sys20_adv00
<2347> sys20_adv00

// <2348> cgm_ak28a
<2348> cgm_ak28a

// <2349> sys20_adv00
<2349> sys20_adv00

// <2350> sys20_adv00
<2350> sys20_adv00

// <2351> bg080n
<2351> bg080n

// <2352> sys20_adv00
<2352> sys20_adv00

// <2353> kuro
<2353> kuro

// <2354> sys20_adv00
<2354> sys20_adv00

// <2355> bg004n1
<2355> bg004n1

// <2356> bgm028
<2356> bgm028

// <2357> sys20_adv00
<2357> sys20_adv00

// <2358> cgm_ak24a
<2358> cgm_ak24a

// <2359> sys20_adv00
<2359> sys20_adv00

// <2360> sys20_adv00
<2360> sys20_adv00

// <2361> cgm_ak11a
<2361> cgm_ak11a

// <2362> sys20_adv00
<2362> sys20_adv00

// <2363> cgm_ak25a
<2363> cgm_ak25a

// <2364> sys20_adv00
<2364> sys20_adv00

// <2365> cgm_ak19a
<2365> cgm_ak19a

// <2366> sys20_adv00
<2366> sys20_adv00

// <2367> cgm_ak25a
<2367> cgm_ak25a

// <2368> sys20_adv00
<2368> sys20_adv00

// <2369> cgm_ak11a
<2369> cgm_ak11a

// <2370> sys20_adv00
<2370> sys20_adv00

// <2371> cgm_ak22a
<2371> cgm_ak22a

// <2372> sys20_adv00
<2372> sys20_adv00

// <2373> sys20_adv00
<2373> sys20_adv00

// <2374> cgm_ak17a
<2374> cgm_ak17a

// <2375> sys20_adv00
<2375> sys20_adv00

// <2376> cgm_ak25a
<2376> cgm_ak25a

// <2377> sys20_adv00
<2377> sys20_adv00

// <2378> cgm_ak11a
<2378> cgm_ak11a

// <2379> sys20_adv00
<2379> sys20_adv00

// <2380> cgm_ak19a
<2380> cgm_ak19a

// <2381> sys20_adv00
<2381> sys20_adv00

// <2382> cgm_ak24a
<2382> cgm_ak24a

// <2383> sys20_adv00
<2383> sys20_adv00

// <2384> sys20_adv00
<2384> sys20_adv00

// <2385> cgm_ak11a
<2385> cgm_ak11a

// <2386> sys20_adv00
<2386> sys20_adv00

// <2387> cgm_ak32a
<2387> cgm_ak32a

// <2388> sys20_adv00
<2388> sys20_adv00

// <2389> sys20_adv00
<2389> sys20_adv00

// <2390> cgm_ak10a
<2390> cgm_ak10a

// <2391> sys20_adv00
<2391> sys20_adv00

// <2392> cgm_ak22a
<2392> cgm_ak22a

// <2393> sys20_adv00
<2393> sys20_adv00

// <2394> sys20_adv00
<2394> sys20_adv00

// <2395> cgm_ak17a
<2395> cgm_ak17a

// <2396> sys20_adv00
<2396> sys20_adv00

// <2397> cgm_ak31a
<2397> cgm_ak31a

// <2398> sys20_adv00
<2398> sys20_adv00

// <2399> sys20_adv00
<2399> sys20_adv00

// <2400> cgm_ak32a
<2400> cgm_ak32a

// <2401> sys20_adv00
<2401> sys20_adv00

// <2402> cgm_ak19a
<2402> cgm_ak19a

// <2403> sys20_adv00
<2403> sys20_adv00

// <2404> cgm_ak19au
<2404> cgm_ak19au

// <2405> sys20_adv00
<2405> sys20_adv00

// <2406> cgm_ak25au
<2406> cgm_ak25au

// <2407> sys20_adv00
<2407> sys20_adv00

// <2408> cgm_ak16au
<2408> cgm_ak16au

// <2409> sys20_adv00
<2409> sys20_adv00

// <2410> cgm_ak25au
<2410> cgm_ak25au

// <2411> sys20_adv00
<2411> sys20_adv00

// <2412> cgm_ak19au
<2412> cgm_ak19au

// <2413> sys20_adv00
<2413> sys20_adv00

// <2414> cgm_ak24au
<2414> cgm_ak24au

// <2415> sys20_adv00
<2415> sys20_adv00

// <2416> cgm_ak16au
<2416> cgm_ak16au

// <2417> sys20_adv00
<2417> sys20_adv00

// <2418> cgm_ak24au
<2418> cgm_ak24au

// <2419> sys20_adv00
<2419> sys20_adv00

// <2420> cgm_ak19au
<2420> cgm_ak19au

// <2421> sys20_adv00
<2421> sys20_adv00

// <2422> cgm_ak21au
<2422> cgm_ak21au

// <2423> sys20_adv00
<2423> sys20_adv00

// <2424> sys20_adv00
<2424> sys20_adv00

// <2425> cgm_ak14a
<2425> cgm_ak14a

// <2426> sys20_adv00
<2426> sys20_adv00

// <2427> cgm_ak16a
<2427> cgm_ak16a

// <2428> sys20_adv00
<2428> sys20_adv00

// <2429> cgm_ak21a
<2429> cgm_ak21a

// <2430> sys20_adv00
<2430> sys20_adv00

// <2431> cgm_ak19a
<2431> cgm_ak19a

// <2432> sys20_adv00
<2432> sys20_adv00

// <2433> cgm_ak24a
<2433> cgm_ak24a

// <2434> sys20_adv00
<2434> sys20_adv00

// <2435> cgm_ak22a
<2435> cgm_ak22a

// <2436> sys20_adv00
<2436> sys20_adv00

// <2437> cgm_ak17a
<2437> cgm_ak17a

// <2438> sys20_adv00
<2438> sys20_adv00

// <2439> cgm_ak15a
<2439> cgm_ak15a

// <2440> sys20_adv00
<2440> sys20_adv00

// <2441> cgm_ak23a
<2441> cgm_ak23a

// <2442> sys20_adv00
<2442> sys20_adv00

// <2443> cgm_ak20a
<2443> cgm_ak20a

// <2444> sys20_adv00
<2444> sys20_adv00

// <2445> cgm_ak26a
<2445> cgm_ak26a

// <2446> sys20_adv00
<2446> sys20_adv00

// <2447> sys20_adv00
<2447> sys20_adv00

// <2448> cgm_ak26a
<2448> cgm_ak26a

// <2449> sys20_adv00
<2449> sys20_adv00

// <2450> sys20_adv00
<2450> sys20_adv00

// <2451> cgm_ak35a
<2451> cgm_ak35a

// <2452> sys20_adv00
<2452> sys20_adv00

// <2453> sys00_sys00
<2453> sys00_sys00

// <2454> hita
<2454> hita

// <2455> sys20_adv02
<2455> sys20_adv02

// <2456> sys20_adv00
<2456> sys20_adv00

// <2457> bg004n2
<2457> bg004n2

// <2458> bgm013
<2458> bgm013

// <2459> sys20_adv00
<2459> sys20_adv00

// <2460> cgm_ak14a
<2460> cgm_ak14a

// <2461> sys20_adv00
<2461> sys20_adv00

// <2462> sys20_adv00
<2462> sys20_adv00

// <2463> cgm_ak27a
<2463> cgm_ak27a

// <2464> sys20_adv00
<2464> sys20_adv00

// <2465> kuro
<2465> kuro

// <2466> sys20_adv00
<2466> sys20_adv00

// <2467> bg004
<2467> bg004

// <2468> sys20_adv00
<2468> sys20_adv00

// <2469> cgm_ak17au
<2469> cgm_ak17au

// <2470> sys20_adv00
<2470> sys20_adv00

// <2471> sys20_adv00
<2471> sys20_adv00

// <2472> cgm_ak27au
<2472> cgm_ak27au

// <2473> sys20_adv00
<2473> sys20_adv00

// <2474> sys20_adv00
<2474> sys20_adv00

// <2475> cgm_ak26au
<2475> cgm_ak26au

// <2476> sys20_adv00
<2476> sys20_adv00

// <2477> sys20_adv00
<2477> sys20_adv00

// <2478> cgm_ak27au
<2478> cgm_ak27au

// <2479> sys20_adv00
<2479> sys20_adv00

// <2480> cgm_ak23au
<2480> cgm_ak23au

// <2481> sys20_adv00
<2481> sys20_adv00

// <2482> sys20_adv00
<2482> sys20_adv00

// <2483> cgm_ak25au
<2483> cgm_ak25au

// <2484> sys20_adv00
<2484> sys20_adv00

// <2485> cgm_ak27au
<2485> cgm_ak27au

// <2486> sys20_adv00
<2486> sys20_adv00

// <2487> cgm_ak16au
<2487> cgm_ak16au

// <2488> sys20_adv00
<2488> sys20_adv00

// <2489> bgm037
<2489> bgm037

// <2490> sys20_adv00
<2490> sys20_adv00

// <2491> cgm_ak13au
<2491> cgm_ak13au

// <2492> sys20_adv00
<2492> sys20_adv00

// <2493> sys20_adv00
<2493> sys20_adv00

// <2494> cgm_ak25au
<2494> cgm_ak25au

// <2495> sys20_adv00
<2495> sys20_adv00

// <2496> sys20_adv00
<2496> sys20_adv00

// <2497> cgm_ak11au
<2497> cgm_ak11au

// <2498> sys20_adv00
<2498> sys20_adv00

// <2499> sys20_adv00
<2499> sys20_adv00

// <2500> cgm_ak25au
<2500> cgm_ak25au

// <2501> sys20_adv00
<2501> sys20_adv00

// <2502> sys20_adv00
<2502> sys20_adv00

// <2503> cgm_ak25au
<2503> cgm_ak25au

// <2504> sys20_adv00
<2504> sys20_adv00

// <2505> cgm_ak11au
<2505> cgm_ak11au

// <2506> sys20_adv00
<2506> sys20_adv00

// <2507> cgm_ak16au
<2507> cgm_ak16au

// <2508> sys20_adv00
<2508> sys20_adv00

// <2509> cgm_ak25au
<2509> cgm_ak25au

// <2510> sys20_adv00
<2510> sys20_adv00

// <2511> cgm_ak23au
<2511> cgm_ak23au

// <2512> sys20_adv00
<2512> sys20_adv00

// <2513> cgm_ak11au
<2513> cgm_ak11au

// <2514> sys20_adv00
<2514> sys20_adv00

// <2515> sys20_adv00
<2515> sys20_adv00

// <2516> cgm_ak34a
<2516> cgm_ak34a

// <2517> sys20_adv00
<2517> sys20_adv00

// <2518> cgm_ak33a
<2518> cgm_ak33a

// <2519> sys20_adv00
<2519> sys20_adv00

// <2520> cgm_ak34a
<2520> cgm_ak34a

// <2521> sys20_adv00
<2521> sys20_adv00

// <2522> sys20_adv00
<2522> sys20_adv00

// <2523> kuro
<2523> kuro

// <2524> sys20_adv00
<2524> sys20_adv00

// <2525> bg024
<2525> bg024

// <2526> bgm015
<2526> bgm015

// <2527> sys20_adv00
<2527> sys20_adv00

// <2528> kuro
<2528> kuro

// <2529> sys20_adv00
<2529> sys20_adv00

// <2530> bg026n
<2530> bg026n

// <2531> sys20_adv00
<2531> sys20_adv00

// <2532> cgm_ak34a
<2532> cgm_ak34a

// <2533> sys20_adv00
<2533> sys20_adv00

// <2534> cgm_ak33a
<2534> cgm_ak33a

// <2535> sys20_adv00
<2535> sys20_adv00

// <2536> sys20_adv00
<2536> sys20_adv00

// <2537> cgm_ak25a
<2537> cgm_ak25a

// <2538> sys20_adv00
<2538> sys20_adv00

// <2539> sys20_adv00
<2539> sys20_adv00

// <2540> cgm_ak34a
<2540> cgm_ak34a

// <2541> sys20_adv00
<2541> sys20_adv00

// <2542> sys20_adv00
<2542> sys20_adv00

// <2543> cgm_ak34a
<2543> cgm_ak34a

// <2544> sys20_adv00
<2544> sys20_adv00

// <2545> sys20_adv00
<2545> sys20_adv00

// <2546> cgm_ak25a
<2546> cgm_ak25a

// <2547> sys20_adv00
<2547> sys20_adv00

// <2548> cgm_ak34a
<2548> cgm_ak34a

// <2549> sys20_adv00
<2549> sys20_adv00

// <2550> cgm_ak33a
<2550> cgm_ak33a

// <2551> sys20_adv00
<2551> sys20_adv00

// <2552> cgm_ak34a
<2552> cgm_ak34a

// <2553> sys20_adv00
<2553> sys20_adv00

// <2554> cgm_ak25a
<2554> cgm_ak25a

// <2555> sys20_adv00
<2555> sys20_adv00

// <2556> sys20_adv00
<2556> sys20_adv00

// <2557> cgm_ak34a
<2557> cgm_ak34a

// <2558> sys20_adv00
<2558> sys20_adv00

// <2559> sys20_adv00
<2559> sys20_adv00

// <2560> cgm_ak33a
<2560> cgm_ak33a

// <2561> sys20_adv00
<2561> sys20_adv00

// <2562> cgm_ak34a
<2562> cgm_ak34a

// <2563> sys20_adv00
<2563> sys20_adv00

// <2564> sys20_adv00
<2564> sys20_adv00

// <2565> cgm_ak33a
<2565> cgm_ak33a

// <2566> sys20_adv00
<2566> sys20_adv00

// <2567> cgm_ak34a
<2567> cgm_ak34a

// <2568> sys20_adv00
<2568> sys20_adv00

// <2569> cgm_ak33a
<2569> cgm_ak33a

// <2570> sys20_adv00
<2570> sys20_adv00

// <2571> sys20_adv00
<2571> sys20_adv00

// <2572> cgm_ak33a
<2572> cgm_ak33a

// <2573> sys20_adv00
<2573> sys20_adv00

// <2574> cgm_ak34a
<2574> cgm_ak34a

// <2575> sys20_adv00
<2575> sys20_adv00

// <2576> sys20_adv00
<2576> sys20_adv00

// <2577> kuro
<2577> kuro

// <2578> sys20_adv00
<2578> sys20_adv00

// <2579> bg024
<2579> bg024

// <2580> sys20_adv00
<2580> sys20_adv00

// <2581> cgm_ak32a
<2581> cgm_ak32a

// <2582> sys20_adv00
<2582> sys20_adv00

// <2583> cgm_ak10a
<2583> cgm_ak10a

// <2584> sys20_adv00
<2584> sys20_adv00

// <2585> cgm_ak12a
<2585> cgm_ak12a

// <2586> sys20_adv00
<2586> sys20_adv00

// <2587> kuro
<2587> kuro

// <2588> sys20_adv00
<2588> sys20_adv00

// <2589> bg080
<2589> bg080

// <2590> bgm037
<2590> bgm037

// <2591> sys20_adv00
<2591> sys20_adv00

// <2592> kuro
<2592> kuro

// <2593> sys20_adv00
<2593> sys20_adv00

// <2594> fgak05
<2594> fgak05

// <2595> sys20_adv00
<2595> sys20_adv00

// <2596> siro
<2596> siro

// <2597> sys20_adv00
<2597> sys20_adv00

// <2598> bg017
<2598> bg017

// <2599> sys20_adv00
<2599> sys20_adv00

// <2600> cgm_ak32a
<2600> cgm_ak32a

// <2601> sys20_adv00
<2601> sys20_adv00

// <2602> sys20_adv00
<2602> sys20_adv00

// <2603> siro
<2603> siro

// <2604> sys20_adv00
<2604> sys20_adv00

// <2605> bg080
<2605> bg080

// <2606> sys20_adv00
<2606> sys20_adv00

// <2607> cgm_ko30an
<2607> cgm_ko30an

// <2608> sys20_adv00
<2608> sys20_adv00

// <2609> kuro
<2609> kuro

// <2610> sys20_adv00
<2610> sys20_adv00

// <2611> bg012
<2611> bg012

// <2612> bgm015
<2612> bgm015

// <2613> sys20_adv00
<2613> sys20_adv00

// <2614> bg039
<2614> bg039

// <2615> sys20_adv00
<2615> sys20_adv00

// <2616> bg011
