// <0000> 
<0000> 

// <0001> 静流が倒れて病院に担ぎ込まれたと、ルチアから連絡があった。
<0001> 静流が倒れて病院に担ぎ込まれたと、ルチアから連絡があった。
<2755> 「……はい」

// <2756> 電話
<2756> 電話

// <2757> 『偽りの預言者に惑わされた子らにより、“鍵”の封印が解かれようとしています』
<2757> 『偽りの預言者に惑わされた子らにより、“鍵”の封印が解かれようとしています』

// <2758> 電話
<2758> 電話

// <2759> 『御使いに語り掛けるなど、愚かなことです。人は、神を試してはならないのです』
<2759> 『御使いに語り掛けるなど、愚かなことです。人は、神を試してはならないのです』

// <2760> ルチア
<2760> ルチア

// <2761> 「……はい」
<2761> 「……はい」

// <2762> 電話
<2762> 電話

// <2763> 『この度の“鍵”による再創生は、全人類と全地球に及ぶでしょう』
<2763> 『この度の“鍵”による再創生は、全人類と全地球に及ぶでしょう』

// <2764> 電話
<2764> 電話

// <2765> 『しかしながら、人類は未だ、若い。それを問うのは千年の後の話です』
<2765> 『しかしながら、人類は未だ、若い。それを問うのは千年の後の話です』

// <2766> 電話
<2766> 電話

// <2767> 『……惑わされた子らにより、御使いが判断を誤るようなことがあってはなりません』
<2767> 『……惑わされた子らにより、御使いが判断を誤るようなことがあってはなりません』

// <2768> ルチア
<2768> ルチア

// <2769> 「はい。……審判は、父がお決めになられます。…御使いが決めるべきではありません」
<2769> 「はい。……審判は、父がお決めになられます。…御使いが決めるべきではありません」

// <2770> 電話
<2770> 電話

// <2771> 『あなたは、人類の来たるべき未来の闇を払う、一条の光となるでしょう。そしてそれは、あなたにしか成し得ないことです』
<2771> 『あなたは、人類の来たるべき未来の闇を払う、一条の光となるでしょう。そしてそれは、あなたにしか成し得ないことです』

// <2772> ルチア
<2772> ルチア

// <2773> 「光栄です。猊下」
<2773> 「光栄です。猊下」

// <2774> 電話
<2774> 電話

// <2775> 『……あなたに祝福を、聖ルチア。……聖ルチア・コノハナ』
<2775> 『……あなたに祝福を、聖ルチア。……聖ルチア・コノハナ』

// <2776> ルチア
<2776> ルチア

// <2777> 「我ら、この身を捧げ、楯となり槍とならん」
<2777> 「我ら、この身を捧げ、楯となり槍とならん」

// <2778> ……ゆっくりと受話器を置く。
<2778> ……ゆっくりと受話器を置く。

// <2779> 電話ボックスの外では、瑚太朗が呆然とした表情で彼女を見守っていた…。
<2779> 電話ボックスの外では、瑚太朗が呆然とした表情で彼女を見守っていた…。

// <2780> 
<2780> 

// <2781> 瑚太朗
<2781> 瑚太朗

// <2782> 「ルチア……。……今のは、…誰だ…」
<2782> 「ルチア……。……今のは、…誰だ…」

// <2783> ルチア
<2783> ルチア

// <2784> 「瑚太朗。一緒に来てほしい。すぐ近くだ」
<2784> 「瑚太朗。一緒に来てほしい。すぐ近くだ」

// <2785> 瑚太朗
<2785> 瑚太朗

// <2786> 「え、……お、おい、ルチア…！！」
<2786> 「え、……お、おい、ルチア…！！」

// <2787> 顔いっぱいに玉のような汗を浮かせるくらいに辛そうにしているのに、……ルチアはどこかを足早に目指す。
<2787> 顔いっぱいに玉のような汗を浮かせるくらいに辛そうにしているのに、……ルチアはどこかを足早に目指す。

// <2788> 公園の奥の木立の中に入り、細い道をどこまでも進んでいく。
<2788> 公園の奥の木立の中に入り、細い道をどこまでも進んでいく。

// <2789> いつの間にか胸を抑えて前屈みになり、……呼吸さえ荒げている。
<2789> いつの間にか胸を抑えて前屈みになり、……呼吸さえ荒げている。

// <2790> 瑚太朗
<2790> 瑚太朗

// <2791> 「よせ、家へ戻ろう。少し休んだ方がいい…！」
<2791> 「よせ、家へ戻ろう。少し休んだ方がいい…！」

// <2792> ルチア
<2792> ルチア

// <2793> 「もうそこだ。その丘の向こうだ」
<2793> 「もうそこだ。その丘の向こうだ」

// <2794> 瑚太朗
<2794> 瑚太朗

// <2795> 「……丘の、向こう……？　………ぅわ…、」
<2795> 「……丘の、向こう……？　………ぅわ…、」

// <2796> そこは、……もう１１月だというのに。
<2796> そこは、……もう１１月だというのに。

// <2797> …たくさんのひまわりが咲いた、不思議なひまわり畑だった。
<2797> …たくさんのひまわりが咲いた、不思議なひまわり畑だった。

// <2798> どうして、……こんなにも、こんな時期に、……たくさん…。
<2798> どうして、……こんなにも、こんな時期に、……たくさん…。

// <2799> ルチア
<2799> ルチア

// <2800> 「珍しいだろう…。……外国で品種改良されたひまわりだそうだ」
<2800> 「珍しいだろう…。……外国で品種改良されたひまわりだそうだ」

// <2801> ルチア
<2801> ルチア

// <2802> 「日本の一般的なひまわりと違って、涼しくなってから咲く」
<2802> 「日本の一般的なひまわりと違って、涼しくなってから咲く」

// <2803> 瑚太朗
<2803> 瑚太朗

// <2804> 「……そうなのか…。珍しいな……」
<2804> 「……そうなのか…。珍しいな……」

// <2805> ルチア
<2805> ルチア

// <2806> 「私、……ひまわりが大好きで、大嫌いだった」
<2806> 「私、……ひまわりが大好きで、大嫌いだった」

// <2807> 
<2807> 

// <2808> ……サンタブローシアで、私は初めてひまわり畑に出会った。
<2808> ……サンタブローシアで、私は初めてひまわり畑に出会った。

// <2809> ひまわり畑をくぐって遊ぶ子供たちの姿に、私は不思議な感動を覚えた……。
<2809> ひまわり畑をくぐって遊ぶ子供たちの姿に、私は不思議な感動を覚えた……。

// <2810> 私がそれまでプロジェクトで受けてきた過酷なことは全て、大切な大切な任務だったはず。
<2810> 私がそれまでプロジェクトで受けてきた過酷なことは全て、大切な大切な任務だったはず。

// <2811> ……なのに、そんな自分よりも、ひまわり畑で遊ぶ子供たちの方が、……ずっとずっと、輝いて見えたのだ……。
<2811> ……なのに、そんな自分よりも、ひまわり畑で遊ぶ子供たちの方が、……ずっとずっと、輝いて見えたのだ……。

// <2812> そんなひまわりが、……触れたら、枯れることを私に初めて教えてくれた…。
<2812> そんなひまわりが、……触れたら、枯れることを私に初めて教えてくれた…。

// <2813> ……だからその日以来、ひまわりは、私を怯えさせる花となっていった…。
<2813> ……だからその日以来、ひまわりは、私を怯えさせる花となっていった…。

// <2814> ルチア
<2814> ルチア

// <2815> 「でも。………好きなんだ。………ひまわり」
<2815> 「でも。………好きなんだ。………ひまわり」

// <2816> ルチア
<2816> ルチア

// <2817> 「触れたら枯れるかもって思って、……ずっと遠くから眺めてるだけだったけど…」
<2817> 「触れたら枯れるかもって思って、……ずっと遠くから眺めてるだけだったけど…」

// <2818> ルチア
<2818> ルチア

// <2819> 「……今日、やっとここまで来られた。…ここは、あの日の私の、あの、遊び場所そのもの……」
<2819> 「……今日、やっとここまで来られた。…ここは、あの日の私の、あの、遊び場所そのもの……」

// <2820> 瑚太朗
<2820> 瑚太朗

// <2821> 「もう、今は大丈夫だろ…。……ひまわりに触れても、枯れたりなんかしない」
<2821> 「もう、今は大丈夫だろ…。……ひまわりに触れても、枯れたりなんかしない」

// <2822> ルチア
<2822> ルチア

// <2823> 「…………どう、かな……」
<2823> 「…………どう、かな……」

// <2824> 瑚太朗
<2824> 瑚太朗

// <2825> 「……触ってみろよ」
<2825> 「……触ってみろよ」

// <2826> 
<2826> 

// <2827> ルチアは恐る恐ると、……茎の逞しい、季節外れのひまわりに触れる。
<2827> ルチアは恐る恐ると、……茎の逞しい、季節外れのひまわりに触れる。

// <2828> ……枯れるわけがない。当然だとも。
<2828> ……枯れるわけがない。当然だとも。

// <2829> 瑚太朗
<2829> 瑚太朗

// <2830> 「な……？　大丈夫だろ…？」
<2830> 「な……？　大丈夫だろ…？」

// <2831> ルチア
<2831> ルチア

// <2832> 「……大丈夫だ…。……ザラザラだ…」
<2832> 「……大丈夫だ…。……ザラザラだ…」

// <2833> 瑚太朗
<2833> 瑚太朗

// <2834> 「ザラザラだな。ひまわりの茎って」
<2834> 「ザラザラだな。ひまわりの茎って」

// <2835> ルチア
<2835> ルチア

// <2836> 「案外、痛いよな…」
<2836> 「案外、痛いよな…」

// <2837> ルチア
<2837> ルチア

// <2838> 「……頬擦りして、…痛かったの、思い出した……」
<2838> 「……頬擦りして、…痛かったの、思い出した……」

// <2839> 瑚太朗
<2839> 瑚太朗

// <2840> 「……もうお前には、花を枯らせる呪いなんてないんだ」
<2840> 「……もうお前には、花を枯らせる呪いなんてないんだ」

// <2841> 瑚太朗
<2841> 瑚太朗

// <2842> 「もう、ひまわりは枯れない」
<2842> 「もう、ひまわりは枯れない」

// <2843> 瑚太朗
<2843> 瑚太朗

// <2844> 「だから今度こそ、ルチアはこれだけたくさんのひまわりに、祝福されるんだよ」
<2844> 「だから今度こそ、ルチアはこれだけたくさんのひまわりに、祝福されるんだよ」

// <2845> ルチア
<2845> ルチア

// <2846> 「そうか…。……祝福…、してくれてるのか………」
<2846> 「そうか…。……祝福…、してくれてるのか………」

// <2847> ルチア
<2847> ルチア

// <2848> 「……でも、……この子はもう、………だめだね……」
<2848> 「……でも、……この子はもう、………だめだね……」

// <2849> 瑚太朗
<2849> 瑚太朗

// <2850> 「……え？　…………ぁ、」
<2850> 「……え？　…………ぁ、」

// <2851> ルチアが今触れているひまわりが、……ゆっくりと、…お辞儀をする。
<2851> ルチアが今触れているひまわりが、……ゆっくりと、…お辞儀をする。

// <2852> まるで、愛想のいい猫がじゃれついてくるみたいに、……ルチアの首にお辞儀をして、絡む…。
<2852> まるで、愛想のいい猫がじゃれついてくるみたいに、……ルチアの首にお辞儀をして、絡む…。

// <2853> そのひまわりは、ゆっくりと黒ずんでいく……。
<2853> そのひまわりは、ゆっくりと黒ずんでいく……。

// <2854> そんな、……ことって………、……ど、……どうして、…また……ッ！？
<2854> そんな、……ことって………、……ど、……どうして、…また……ッ！？

// <2855> 瑚太朗
<2855> 瑚太朗

// <2856> 「……ふ、…ふざけんなよ、…偶然だ……」
<2856> 「……ふ、…ふざけんなよ、…偶然だ……」

// <2857> 瑚太朗
<2857> 瑚太朗

// <2858> 「たまたま１本が、……たまたま調子が悪くて萎れちまっただけだ……」
<2858> 「たまたま１本が、……たまたま調子が悪くて萎れちまっただけだ……」

// <2859> 瑚太朗
<2859> 瑚太朗

// <2860> 「…ふ、ふざけんなよ、何で撫でられたくらいでこんなになっちまってんだよ、このひまわりは…！」
<2860> 「…ふ、ふざけんなよ、何で撫でられたくらいでこんなになっちまってんだよ、このひまわりは…！」

// <2861> 瑚太朗
<2861> 瑚太朗

// <2862> 「ルチアの前では冗談で済まないからやめろってんだよ、……この、……このッ、」
<2862> 「ルチアの前では冗談で済まないからやめろってんだよ、……この、……このッ、」

// <2863> 黒ずんでルチアの足元に倒れたひまわりを、何とか再び立たせようとする…。
<2863> 黒ずんでルチアの足元に倒れたひまわりを、何とか再び立たせようとする…。

// <2864> ……でも、さっきまでの逞しかった茎が嘘のようで、……もうどうにもならない！！
<2864> ……でも、さっきまでの逞しかった茎が嘘のようで、……もうどうにもならない！！

// <2865> ルチア
<2865> ルチア

// <2866> 「お別れだ……、……瑚太朗……」
<2866> 「お別れだ……、……瑚太朗……」

// <2867> 瑚太朗
<2867> 瑚太朗

// <2868> 「あ、………ぁ、…………」
<2868> 「あ、………ぁ、…………」

// <2869> やめてくれ……、…それ…。
<2869> やめてくれ……、…それ…。

// <2870> ……ルチアには…冗談にならないから、……やめてくれ……。
<2870> ……ルチアには…冗談にならないから、……やめてくれ……。

// <2871> ……ゆっくりと、……ルチアを中心に、……ひまわりたちが次々に頭を垂れていく。
<2871> ……ゆっくりと、……ルチアを中心に、……ひまわりたちが次々に頭を垂れていく。

// <2872> それらは次々と黒ずみ、……あの美しかった黄色の大輪の花畑が、……黒い染みが広がっていくように…。
<2872> それらは次々と黒ずみ、……あの美しかった黄色の大輪の花畑が、……黒い染みが広がっていくように…。

// <2873> ……次々に枯れて、萎れて、…黒ずんで朽ち果てていく……。
<2873> ……次々に枯れて、萎れて、…黒ずんで朽ち果てていく……。

// <2874> まるで、黄色い花がルチアから一斉に逃げていくかのように、見えた……。
<2874> まるで、黄色い花がルチアから一斉に逃げていくかのように、見えた……。

// <2875> 全て真っ黒になって朽ち果てた、悪夢のひまわり畑の中心で。
<2875> 全て真っ黒になって朽ち果てた、悪夢のひまわり畑の中心で。

// <2876> 彼女は俺に振り返り、……微笑ながらもう一度言った。
<2876> 彼女は俺に振り返り、……微笑ながらもう一度言った。

// <2877> ルチア
<2877> ルチア

// <2878> 「さようなら、……瑚太朗」
<2878> 「さようなら、……瑚太朗」

// <2879> 彼女を中心とした、黒い染みの広がりが、止まらない…。
<2879> 彼女を中心とした、黒い染みの広がりが、止まらない…。

// <2880> ひまわり畑を全て飲み込んだだけでなく、さらに広がって、森の木々、飛ぶ小鳥たちまでが次々と……。
<2880> ひまわり畑を全て飲み込んだだけでなく、さらに広がって、森の木々、飛ぶ小鳥たちまでが次々と……。

// <2881> 真っ黒に広がる、……彼女の悪夢が、全てを飲み込んでいく。
<2881> 真っ黒に広がる、……彼女の悪夢が、全てを飲み込んでいく。

// <2882> 彼女の涙が、風にかすかに舞った……。
<2882> 彼女の涙が、風にかすかに舞った……。

// <2883> そして、黒い染みの世界は、俺の意識も飲み込んでいく……。
<2883> そして、黒い染みの世界は、俺の意識も飲み込んでいく……。

// <2884> 急激に目の前が暗くなり、……自分が人形にでもなったかのように、あっさりと地面に転ぶ……
<2884> 急激に目の前が暗くなり、……自分が人形にでもなったかのように、あっさりと地面に転ぶ……

// <2885> 本当に軽々と、俺は玩具のように地面に転がった…。
<2885> 本当に軽々と、俺は玩具のように地面に転がった…。

// <2886> 黒いひまわり畑の向こうへ、ゆっくりと去っていくルチアに、……俺は手さえ伸ばせないでいた………。
<2886> 黒いひまわり畑の向こうへ、ゆっくりと去っていくルチアに、……俺は手さえ伸ばせないでいた………。

// <2887> dummy
<2887> dummy

// <2888> bgm015
<2888> bgm015

// <2889> sys10_mh00
<2889> sys10_mh00

// <2890> sys10_mh00
<2890> sys10_mh00

// <2891> sys10_mh00
<2891> sys10_mh00

// <2892> sys10_mh00
<2892> sys10_mh00

// <2893> sys10_mh00
<2893> sys10_mh00

// <2894> sys20_adv00
<2894> sys20_adv00

// <2895> bg012
<2895> bg012

// <2896> sys20_adv00
<2896> sys20_adv00

// <2897> cgm_ns13a
<2897> cgm_ns13a

// <2898> sys20_adv00
<2898> sys20_adv00

// <2899> cgm_ns14a
<2899> cgm_ns14a

// <2900> sys20_adv00
<2900> sys20_adv00

// <2901> kuro
<2901> kuro

// <2902> sys20_adv00
<2902> sys20_adv00

// <2903> bg017
<2903> bg017

// <2904> sys20_adv00
<2904> sys20_adv00

// <2905> cgm_ns13ah
<2905> cgm_ns13ah

// <2906> sys20_adv00
<2906> sys20_adv00

// <2907> cgm_ns14a
<2907> cgm_ns14a

// <2908> sys20_adv00
<2908> sys20_adv00

// <2909> kuro
<2909> kuro

// <2910> sys20_adv00
<2910> sys20_adv00

// <2911> bg017
<2911> bg017

// <2912> sys20_adv00
<2912> sys20_adv00

// <2913> cgm_ns14a
<2913> cgm_ns14a

// <2914> sys20_adv00
<2914> sys20_adv00

// <2915> sys20_adv00
<2915> sys20_adv00

// <2916> cgm_ns12ah
<2916> cgm_ns12ah

// <2917> sys20_adv00
<2917> sys20_adv00

// <2918> cgm_ns13a
<2918> cgm_ns13a

// <2919> sys20_adv00
<2919> sys20_adv00

// <2920> sys20_adv00
<2920> sys20_adv00

// <2921> cgm_ns14a
<2921> cgm_ns14a

// <2922> sys20_adv00
<2922> sys20_adv00

// <2923> cgm_ns16a
<2923> cgm_ns16a

// <2924> sys20_adv00
<2924> sys20_adv00

// <2925> cgm_ns14a
<2925> cgm_ns14a

// <2926> sys20_adv00
<2926> sys20_adv00

// <2927> cgm_ns12a
<2927> cgm_ns12a

// <2928> sys20_adv00
<2928> sys20_adv00

// <2929> cgm_ns14a
<2929> cgm_ns14a

// <2930> sys20_adv00
<2930> sys20_adv00

// <2931> sys20_adv00
<2931> sys20_adv00

// <2932> cgm_ns12ah
<2932> cgm_ns12ah

// <2933> sys20_adv00
<2933> sys20_adv00

// <2934> cgm_ns14a
<2934> cgm_ns14a

// <2935> sys20_adv00
<2935> sys20_adv00

// <2936> cgm_ns13a
<2936> cgm_ns13a

// <2937> sys20_adv00
<2937> sys20_adv00

// <2938> cgm_ns14a
<2938> cgm_ns14a

// <2939> sys20_adv00
<2939> sys20_adv00

// <2940> cgm_ns13a
<2940> cgm_ns13a

// <2941> sys20_adv00
<2941> sys20_adv00

// <2942> cgm_ns12a
<2942> cgm_ns12a

// <2943> sys20_adv00
<2943> sys20_adv00

// <2944> cgm_ns14a
<2944> cgm_ns14a

// <2945> sys20_adv00
<2945> sys20_adv00

// <2946> cgm_ns12a
<2946> cgm_ns12a

// <2947> sys20_adv00
<2947> sys20_adv00

// <2948> cgm_ns13a
<2948> cgm_ns13a

// <2949> sys20_adv00
<2949> sys20_adv00

// <2950> cgm_ns14a
<2950> cgm_ns14a

// <2951> sys20_adv00
<2951> sys20_adv00

// <2952> sys20_adv00
<2952> sys20_adv00

// <2953> cgm_ns14a
<2953> cgm_ns14a

// <2954> sys20_adv00
<2954> sys20_adv00

// <2955> cgm_ns10a
<2955> cgm_ns10a

// <2956> sys20_adv00
<2956> sys20_adv00

// <2957> sys20_adv00
<2957> sys20_adv00

// <2958> cgm_ns11a
<2958> cgm_ns11a

// <2959> sys20_adv00
<2959> sys20_adv00

// <2960> cgm_ns14a
<2960> cgm_ns14a

// <2961> sys20_adv00
<2961> sys20_adv00

// <2962> cgm_ns10a
<2962> cgm_ns10a

// <2963> sys20_adv00
<2963> sys20_adv00

// <2964> sys20_adv00
<2964> sys20_adv00

// <2965> cgm_ns14a
<2965> cgm_ns14a

// <2966> sys20_adv00
<2966> sys20_adv00

// <2967> cgm_ns13a
<2967> cgm_ns13a

// <2968> sys20_adv00
<2968> sys20_adv00

// <2969> cgm_ns14a
<2969> cgm_ns14a

// <2970> sys20_adv00
<2970> sys20_adv00

// <2971> cgm_ns12a
<2971> cgm_ns12a

// <2972> sys20_adv00
<2972> sys20_adv00

// <2973> cgm_ns14a
<2973> cgm_ns14a

// <2974> sys20_adv00
<2974> sys20_adv00

// <2975> sys20_adv00
<2975> sys20_adv00

// <2976> cgm_ns14a
<2976> cgm_ns14a

// <2977> sys20_adv00
<2977> sys20_adv00

// <2978> cgm_ns13a
<2978> cgm_ns13a

// <2979> sys20_adv00
<2979> sys20_adv00

// <2980> cgm_ns14a
<2980> cgm_ns14a

// <2981> sys20_adv00
<2981> sys20_adv00

// <2982> cgm_ns12a
<2982> cgm_ns12a

// <2983> sys20_adv00
<2983> sys20_adv00

// <2984> cgm_ns13a
<2984> cgm_ns13a

// <2985> sys20_adv00
<2985> sys20_adv00

// <2986> cgm_ns14a
<2986> cgm_ns14a

// <2987> sys20_adv00
<2987> sys20_adv00

// <2988> cgm_ns13a
<2988> cgm_ns13a

// <2989> sys20_adv00
<2989> sys20_adv00

// <2990> sys20_adv00
<2990> sys20_adv00

// <2991> cgm_ns13a
<2991> cgm_ns13a

// <2992> sys20_adv00
<2992> sys20_adv00

// <2993> cgm_ns14a
<2993> cgm_ns14a

// <2994> sys20_adv00
<2994> sys20_adv00

// <2995> cgm_ns12a
<2995> cgm_ns12a

// <2996> sys20_adv00
<2996> sys20_adv00

// <2997> cgm_ns13a
<2997> cgm_ns13a

// <2998> sys20_adv00
<2998> sys20_adv00

// <2999> cgm_ns12a
<2999> cgm_ns12a

// <3000> sys20_adv00
<3000> sys20_adv00

// <3001> cgm_ns14a
<3001> cgm_ns14a

// <3002> sys20_adv00
<3002> sys20_adv00

// <3003> cgm_ns12a
<3003> cgm_ns12a

// <3004> sys20_adv00
<3004> sys20_adv00

// <3005> cgm_ns14a
<3005> cgm_ns14a

// <3006> sys20_adv00
<3006> sys20_adv00

// <3007> cgm_ns12ah
<3007> cgm_ns12ah

// <3008> sys20_adv00
<3008> sys20_adv00

// <3009> cgm_ns14a
<3009> cgm_ns14a

// <3010> sys20_adv00
<3010> sys20_adv00

// <3011> cgm_ns12ah
<3011> cgm_ns12ah

// <3012> sys20_adv00
<3012> sys20_adv00

// <3013> cgm_ns14a
<3013> cgm_ns14a

// <3014> sys20_adv00
<3014> sys20_adv00

// <3015> cgm_ns12a
<3015> cgm_ns12a

// <3016> sys20_adv00
<3016> sys20_adv00

// <3017> cgm_ns13a
<3017> cgm_ns13a

// <3018> sys20_adv00
<3018> sys20_adv00

// <3019> cgm_ns14a
<3019> cgm_ns14a

// <3020> sys20_adv00
<3020> sys20_adv00

// <3021> sys20_adv00
<3021> sys20_adv00

// <3022> cgm_ns12a
<3022> cgm_ns12a

// <3023> sys20_adv00
<3023> sys20_adv00

// <3024> sys20_adv00
<3024> sys20_adv00

// <3025> cgm_ns13a
<3025> cgm_ns13a

// <3026> sys20_adv00
<3026> sys20_adv00

// <3027> cgm_ns12a
<3027> cgm_ns12a

// <3028> sys20_adv00
<3028> sys20_adv00

// <3029> cgm_ns14a
<3029> cgm_ns14a

// <3030> sys20_adv00
<3030> sys20_adv00

// <3031> cgm_ns13a
<3031> cgm_ns13a

// <3032> sys20_adv00
<3032> sys20_adv00

// <3033> cgm_ns12a
<3033> cgm_ns12a

// <3034> sys20_adv00
<3034> sys20_adv00

// <3035> sys20_adv00
<3035> sys20_adv00

// <3036> cgm_ns13a
<3036> cgm_ns13a

// <3037> sys20_adv00
<3037> sys20_adv00

// <3038> cgm_ns10a
<3038> cgm_ns10a

// <3039> sys20_adv00
<3039> sys20_adv00

// <3040> cgm_ns14a
<3040> cgm_ns14a

// <3041> sys20_adv00
<3041> sys20_adv00

// <3042> cgm_ns11a
<3042> cgm_ns11a

// <3043> sys20_adv00
<3043> sys20_adv00

// <3044> cgm_ns13a
<3044> cgm_ns13a

// <3045> sys20_adv00
<3045> sys20_adv00

// <3046> cgm_ns14a
<3046> cgm_ns14a

// <3047> sys20_adv00
<3047> sys20_adv00

// <3048> cgm_ns13ah
<3048> cgm_ns13ah

// <3049> sys20_adv00
<3049> sys20_adv00

// <3050> cgm_ns14a
<3050> cgm_ns14a

// <3051> sys20_adv00
<3051> sys20_adv00

// <3052> cgm_ns13a
<3052> cgm_ns13a

// <3053> sys20_adv00
<3053> sys20_adv00

// <3054> cgm_ns10a
<3054> cgm_ns10a

// <3055> sys20_adv00
<3055> sys20_adv00

// <3056> sys20_adv00
<3056> sys20_adv00

// <3057> cgm_ns14a
<3057> cgm_ns14a

// <3058> sys20_adv00
<3058> sys20_adv00

// <3059> cgm_ns11a
<3059> cgm_ns11a

// <3060> sys20_adv00
<3060> sys20_adv00

// <3061> cgm_ns10a
<3061> cgm_ns10a

// <3062> sys20_adv00
<3062> sys20_adv00

// <3063> cgm_ns13a
<3063> cgm_ns13a

// <3064> sys20_adv00
<3064> sys20_adv00

// <3065> cgm_ns12ah
<3065> cgm_ns12ah

// <3066> sys20_adv00
<3066> sys20_adv00

// <3067> cgm_ns13a
<3067> cgm_ns13a

// <3068> sys20_adv00
<3068> sys20_adv00

// <3069> cgm_ns14a
<3069> cgm_ns14a

// <3070> sys20_adv00
<3070> sys20_adv00

// <3071> cgm_ns13a
<3071> cgm_ns13a

// <3072> sys20_adv00
<3072> sys20_adv00

// <3073> cgm_ns10a
<3073> cgm_ns10a

// <3074> sys20_adv00
<3074> sys20_adv00

// <3075> sys20_adv00
<3075> sys20_adv00

// <3076> cgm_ns13ah
<3076> cgm_ns13ah

// <3077> sys20_adv00
<3077> sys20_adv00

// <3078> cgm_ns10a
<3078> cgm_ns10a

// <3079> sys20_adv00
<3079> sys20_adv00

// <3080> kuro
<3080> kuro

// <3081> sys20_adv00
<3081> sys20_adv00

// <3082> bg012n
<3082> bg012n

// <3083> sys20_adv00
<3083> sys20_adv00

// <3084> kuro
<3084> kuro

// <3085> sys20_adv00
<3085> sys20_adv00

// <3086> bg001n2
<3086> bg001n2

// <3087> sys00_sys00
<3087> sys00_sys00

// <3088> call_mobile1
<3088> call_mobile1

// <3089> sys00_sys00
<3089> sys00_sys00

// <3090> sys20_adv00
<3090> sys20_adv00

// <3091> kuro
<3091> kuro

// <3092> sys20_adv00
<3092> sys20_adv00

// <3093> bg049
<3093> bg049

// <3094> sys10_mh00
<3094> sys10_mh00

// <3095> sys10_mh00
<3095> sys10_mh00

// <3096> sys10_mh00
<3096> sys10_mh00

// <3097> sys10_mh00
<3097> sys10_mh00

// <3098> sys10_mh00
<3098> sys10_mh00

// <3099> sys20_adv00
<3099> sys20_adv00

// <3100> kuro
<3100> kuro

// <3101> sys20_adv00
<3101> sys20_adv00

// <3102> bg010n
<3102> bg010n

// <3103> bgm025
<3103> bgm025

// <3104> sys10_mh00
<3104> sys10_mh00

// <3105> sys10_mh00
<3105> sys10_mh00

// <3106> sys10_mh00
<3106> sys10_mh00

// <3107> sys10_mh00
<3107> sys10_mh00

// <3108> sys10_mh00
<3108> sys10_mh00

// <3109> sys00_sys00
<3109> sys00_sys00

// <3110> pinpon
<3110> pinpon

// <3111> sys20_adv00
<3111> sys20_adv00

// <3112> kuro
<3112> kuro

// <3113> sys00_sys00
<3113> sys00_sys00

// <3114> wind_jiken
<3114> wind_jiken

// <3115> sys20_adv00
<3115> sys20_adv00

// <3116> aka
<3116> aka

// <3117> sys00_sys00
<3117> sys00_sys00

// <3118> sys20_adv00
<3118> sys20_adv00

// <3119> kuro
<3119> kuro

// <3120> sys20_adv00
<3120> sys20_adv00

// <3121> bg017n1
<3121> bg017n1

// <3122> sys20_adv00
<3122> sys20_adv00

// <3123> cgm_ns14a
<3123> cgm_ns14a

// <3124> sys20_adv00
<3124> sys20_adv00

// <3125> sys20_adv00
<3125> sys20_adv00

// <3126> cgm_ns14a
<3126> cgm_ns14a

// <3127> sys20_adv00
<3127> sys20_adv00

// <3128> sys20_adv00
<3128> sys20_adv00

// <3129> cgm_ns12a
<3129> cgm_ns12a

// <3130> sys20_adv00
<3130> sys20_adv00

// <3131> sys20_adv00
<3131> sys20_adv00

// <3132> cgm_ns14a
<3132> cgm_ns14a

// <3133> sys20_adv00
<3133> sys20_adv00

// <3134> sys20_adv00
<3134> sys20_adv00

// <3135> cgm_ns14a
<3135> cgm_ns14a

// <3136> sys20_adv00
<3136> sys20_adv00

// <3137> cgm_ns12a
<3137> cgm_ns12a

// <3138> sys20_adv00
<3138> sys20_adv00

// <3139> kuro
<3139> kuro

// <3140> sys20_adv00
<3140> sys20_adv00

// <3141> bg010n
<3141> bg010n

// <3142> bgm015
<3142> bgm015

// <3143> sys10_mh00
<3143> sys10_mh00

// <3144> sys10_mh00
<3144> sys10_mh00

// <3145> sys10_mh00
<3145> sys10_mh00

// <3146> sys10_mh00
<3146> sys10_mh00

// <3147> sys10_mh00
<3147> sys10_mh00

// <3148> sys00_sys00
<3148> sys00_sys00

// <3149> door_nob
<3149> door_nob

// <3150> sys20_adv00
<3150> sys20_adv00

// <3151> kuro
<3151> kuro

// <3152> sys00_sys00
<3152> sys00_sys00

// <3153> wind_jiken
<3153> wind_jiken

// <3154> sys00_sys00
<3154> sys00_sys00

// <3155> sys00_sys00
<3155> sys00_sys00

// <3156> call_mobile1
<3156> call_mobile1

// <3157> sys00_sys00
